,TR,IR,VR,ZR,ZZR,IR_CURRF,Lz_10_9,Einductance,EINP,ni_10_23,TM_10_6,nimax_10_23,Wpiston,T,AC,BE,I,II,IO,RESF,Z,ZZ
0,0.0014966629547095765,0.823164625090267,0.0,1.8828308029081463e-05,0.012580192467404957,0.5762152375631868,2.8962949375042886e-05,0.00040000028383690387,0.0021484971358267453,0.45318418201754385,1044.0475098588652,7.1367587719298236,2.8383690387542003e-10,0.002,0.941415401454073,0.2691965806382536,0.002,1.0,4e-06,86.05811989580064,3.765661605816292e-06,0.001882830802908146
1,0.002993325909419153,1.5046444322591157,2.230147101878302e-05,5.648492408724438e-05,0.025160384934809914,1.0532511025813809,8.688884812512865e-05,0.0013364579025873125,0.002148499032503074,0.45318418201754385,2088.0950197177303,7.1367587719298236,2.180513232425998e-09,0.004,0.9414154014540729,0.2691965806382536,0.003655755814565327,0.8278779072826635,1.1311511629130654e-05,86.05811989580064,1.1296984817448877e-05,0.003765661605816292
2,0.004489988864128729,2.0688212379599618,6.845870890967067e-05,0.00011097577525830676,0.03640823139210804,1.4481748665719731,0.0001707102813326599,0.002526587494334968,0.002148504221144903,0.45318418201754385,3021.569298067891,7.1367587719298236,7.369155061475455e-09,0.006,0.8417117556449731,0.2691965806382536,0.00502650666683617,0.6853754261354214,2.1364524962802992e-05,86.05811989580064,2.2195155051661353e-05,0.005449085117106238
3,0.005986651818838306,2.5358816842250245,0.0001261510743703898,0.00017906572242851998,0.04549450960615638,1.775117178957517,0.00027545074392729265,0.0037961861359016016,0.0021485139626293156,0.45318418201754385,3775.6520490147773,7.1367587719298236,1.71106394739036e-08,0.008,0.6799547999575417,0.2691965806382536,0.006161298984263186,0.5673961587135082,3.3687122931329366e-05,86.05811989580064,3.5813144485704e-05,0.006808994717021321
4,0.007483314773547883,2.922539135214557,0.00018439896356300936,0.0002588416135359343,0.05330250933009468,2.0457773946501896,0.0003981672988043532,0.0050421005415891935,0.0021485291218370276,0.45318418201754385,4423.648706448911,7.1367587719298236,3.2269847185620194e-08,0.01,0.5842971968600529,0.2691965806382536,0.007100740352864593,0.46972068430070385,4.788860363705855e-05,86.05811989580064,5.1768322707186856e-05,0.007977589110741427
5,0.008979977728257458,3.24263088021345,0.00023974589587047186,0.00034855784561838374,0.05994417901514683,2.2698416161494146,0.0005361747439720295,0.006207079780861437,0.002148550108830288,0.45318418201754385,4974.850026615534,7.1367587719298236,5.325684044603598e-08,0.012,0.49701704875175834,0.2691965806382536,0.007878450510085677,0.3888550786105418,6.364550465722991e-05,86.05811989580064,6.971156912367674e-05,0.008971623208244944
6,0.010476640682967036,3.507613045003096,0.00028957262395780235,0.0004467463097485749,0.06560492716227108,2.4553291315021673,0.0006872147371261398,0.007263020319969209,0.0021485769850379953,0.45318418201754385,5444.6433165239505,7.1367587719298236,8.01330481532033e-08,0.014,0.4236116023870875,0.2691965806382536,0.008522263805052254,0.3219066474832888,8.069003226733442e-05,86.05811989580064,8.934926194971499e-05,0.009818846413019118
7,0.011973303637676612,3.726970262225608,0.0003329558253235414,0.0005521708728395895,0.07043974914944823,2.6088791835579253,0.0008493857765511853,0.00819987980645593,0.0021486095640442966,0.45318418201754385,5845.891856194699,7.1367587719298236,1.1271205445430966e-07,0.016,0.36180494804116836,0.2691965806382536,0.009055224553209909,0.2664803740788273,9.880048137375424e-05,86.05811989580064,0.0001104341745679179,0.010542456309101455
8,0.01346996659238619,3.9085548984335765,0.00036982800796603847,0.0006637889145726983,0.07457794113355866,2.7359884289035032,0.0010210840346774183,0.00901840824502374,0.002148647499997445,0.45318418201754385,6189.326111872637,7.1367587719298236,1.5064800760248012e-07,0.018000000000000002,0.3096739321047113,0.2691965806382536,0.009496411238529522,0.22059334265980665,0.00011779330385081329,86.05811989580064,0.00013275778291453965,0.011161804173310877
9,0.014966629547095767,4.058867928005021,0.0004005936451436166,0.000780719451182687,0.07812750107967946,2.841207549603514,0.0012009543239780188,0.009725438955014928,0.002148690357015648,0.45318418201754385,6483.908983513443,7.1367587719298236,1.9350502580524738e-07,0.020000000000000004,0.2656247438439961,0.2691965806382536,0.009861618938155733,0.18260384981310493,0.00013751654172712476,86.05811989580064,0.0001561438902365374,0.011693053660998869
10,0.016463292501805348,4.183291486377261,0.000425888928348444,0.0009022167178696994,0.08117877595933994,2.9283040404640825,0.0013878494596868058,0.010330887070833876,0.0021487376598244997,0.45318418201754385,6737.138490793118,7.1367587719298236,2.4080783465723703e-07,0.022000000000000006,0.22833650385118756,0.2691965806382536,0.010163924344825987,0.15115270333512662,0.00015784439041677674,86.05811989580064,0.00018044334357393988,0.012149726668701243
11,0.017959955456514923,4.286281411964603,0.00044643491490055316,0.001027648246210692,0.08380746509846783,3.0003969883752215,0.001580796537021808,0.010845879509607283,0.0021487889285173247,0.45318418201754385,6955.297025093001,7.1367587719298236,2.920765274820258e-07,0.024000000000000007,0.19671308269900642,0.2691965806382536,0.010414153575889089,0.1251146155315509,0.00017867269756855492,86.05811989580064,0.00020552964924213838,0.012543152834099257
12,0.0194566184112245,4.371526658364631,0.00046295133448252986,0.0011564766466768178,0.08607709575541986,3.0600686608552414,0.0017789689078479606,0.011281628240751391,0.002148843700951956,0.45318418201754385,7143.656801132176,7.1367587719298236,3.468489621133995e-07,0.02600000000000001,0.16984360625666234,0.2691965806382536,0.010621269488798199,0.10355795645455497,0.00019991523654615132,86.05811989580064,0.00023129532933536355,0.012882840046612581
